MoveEvent(x=1010, y=297, time=1683894823.3120503)
MoveEvent(x=1031, y=269, time=1683894823.3200512)
MoveEvent(x=1050, y=242, time=1683894823.3280423)
MoveEvent(x=1070, y=217, time=1683894823.3361044)
MoveEvent(x=1089, y=194, time=1683894823.3433266)
MoveEvent(x=1106, y=176, time=1683894823.3513253)
MoveEvent(x=1118, y=165, time=1683894823.359429)
MoveEvent(x=1130, y=155, time=1683894823.3677485)
MoveEvent(x=1140, y=150, time=1683894823.375316)
MoveEvent(x=1149, y=146, time=1683894823.3835921)
MoveEvent(x=1153, y=146, time=1683894823.3919437)
MoveEvent(x=1158, y=145, time=1683894823.3999448)
MoveEvent(x=1159, y=145, time=1683894823.4077437)
MoveEvent(x=1161, y=145, time=1683894823.4152935)
MoveEvent(x=1163, y=145, time=1683894823.423165)
MoveEvent(x=1165, y=148, time=1683894823.4311829)
MoveEvent(x=1167, y=154, time=1683894823.4399438)
MoveEvent(x=1170, y=163, time=1683894823.4474363)
MoveEvent(x=1174, y=179, time=1683894823.4560235)
MoveEvent(x=1181, y=201, time=1683894823.4630418)
MoveEvent(x=1191, y=234, time=1683894823.4719439)
MoveEvent(x=1204, y=267, time=1683894823.4794967)
MoveEvent(x=1212, y=302, time=1683894823.4876192)
MoveEvent(x=1220, y=327, time=1683894823.4952533)
MoveEvent(x=1226, y=348, time=1683894823.50341)
MoveEvent(x=1229, y=361, time=1683894823.5115075)
MoveEvent(x=1232, y=372, time=1683894823.5197453)
MoveEvent(x=1234, y=379, time=1683894823.5272353)
MoveEvent(x=1237, y=381, time=1683894823.536028)
MoveEvent(x=1238, y=383, time=1683894823.5432782)
MoveEvent(x=1239, y=384, time=1683894823.5512881)
MoveEvent(x=1239, y=384, time=1683894823.5676577)
MoveEvent(x=1241, y=384, time=1683894823.5755627)
MoveEvent(x=1244, y=380, time=1683894823.5836518)
MoveEvent(x=1248, y=371, time=1683894823.5917423)
MoveEvent(x=1255, y=358, time=1683894823.5998971)
MoveEvent(x=1264, y=344, time=1683894823.6077359)
MoveEvent(x=1279, y=325, time=1683894823.616006)
MoveEvent(x=1289, y=311, time=1683894823.6238236)
MoveEvent(x=1299, y=301, time=1683894823.6318157)
MoveEvent(x=1309, y=293, time=1683894823.6401358)
MoveEvent(x=1319, y=288, time=1683894823.64785)
MoveEvent(x=1323, y=286, time=1683894823.6560247)
MoveEvent(x=1327, y=283, time=1683894823.6630309)
MoveEvent(x=1330, y=282, time=1683894823.6720576)
MoveEvent(x=1331, y=282, time=1683894823.67913)
MoveEvent(x=1330, y=276, time=1683894823.8554397)
MoveEvent(x=1325, y=266, time=1683894823.8635182)
MoveEvent(x=1315, y=253, time=1683894823.8722162)
MoveEvent(x=1297, y=228, time=1683894823.8799572)
MoveEvent(x=1280, y=201, time=1683894823.8881311)
MoveEvent(x=1263, y=175, time=1683894823.8960617)
MoveEvent(x=1246, y=154, time=1683894823.90401)
MoveEvent(x=1230, y=137, time=1683894823.9119968)
MoveEvent(x=1222, y=129, time=1683894823.9199922)
MoveEvent(x=1218, y=127, time=1683894823.92799)
MoveEvent(x=1215, y=127, time=1683894823.9359105)
MoveEvent(x=1211, y=127, time=1683894823.9439135)
MoveEvent(x=1205, y=127, time=1683894823.9519114)
MoveEvent(x=1197, y=136, time=1683894823.9599218)
MoveEvent(x=1188, y=155, time=1683894823.9680426)
MoveEvent(x=1181, y=172, time=1683894823.9760432)
MoveEvent(x=1165, y=206, time=1683894823.9830897)
MoveEvent(x=1153, y=239, time=1683894823.9911382)
MoveEvent(x=1137, y=273, time=1683894823.9991398)
MoveEvent(x=1120, y=310, time=1683894824.0075984)
MoveEvent(x=1108, y=345, time=1683894824.0159428)
MoveEvent(x=1102, y=370, time=1683894824.0233495)
MoveEvent(x=1097, y=381, time=1683894824.0313795)
MoveEvent(x=1095, y=391, time=1683894824.0394418)
MoveEvent(x=1091, y=399, time=1683894824.0474439)
MoveEvent(x=1087, y=405, time=1683894824.0559428)
MoveEvent(x=1085, y=409, time=1683894824.0639865)
MoveEvent(x=1082, y=415, time=1683894824.0717738)
MoveEvent(x=1081, y=417, time=1683894824.079819)
MoveEvent(x=1079, y=420, time=1683894824.088058)
MoveEvent(x=1079, y=420, time=1683894824.1118321)
MoveEvent(x=1077, y=420, time=1683894824.1196795)
MoveEvent(x=1076, y=420, time=1683894824.1280563)
MoveEvent(x=1073, y=418, time=1683894824.1360588)
MoveEvent(x=1070, y=410, time=1683894824.1432347)
MoveEvent(x=1067, y=398, time=1683894824.151379)
MoveEvent(x=1063, y=381, time=1683894824.159334)
MoveEvent(x=1056, y=358, time=1683894824.1678784)
MoveEvent(x=1048, y=334, time=1683894824.1755157)
MoveEvent(x=1039, y=301, time=1683894824.183355)
MoveEvent(x=1028, y=276, time=1683894824.1915858)
MoveEvent(x=1016, y=245, time=1683894824.1995702)
MoveEvent(x=998, y=218, time=1683894824.2078779)
MoveEvent(x=976, y=188, time=1683894824.21561)
MoveEvent(x=957, y=158, time=1683894824.223698)
MoveEvent(x=944, y=145, time=1683894824.231942)
MoveEvent(x=934, y=137, time=1683894824.2399418)
MoveEvent(x=927, y=134, time=1683894824.2480955)
MoveEvent(x=923, y=133, time=1683894824.2560918)
MoveEvent(x=919, y=133, time=1683894824.2630954)
MoveEvent(x=912, y=133, time=1683894824.2712393)
MoveEvent(x=906, y=135, time=1683894824.2801945)
MoveEvent(x=893, y=145, time=1683894824.2871802)
MoveEvent(x=881, y=154, time=1683894824.2951937)
MoveEvent(x=863, y=173, time=1683894824.303199)
MoveEvent(x=845, y=195, time=1683894824.3111863)
MoveEvent(x=826, y=218, time=1683894824.3191795)
MoveEvent(x=807, y=243, time=1683894824.3271744)
MoveEvent(x=790, y=265, time=1683894824.3360271)
MoveEvent(x=773, y=292, time=1683894824.3431087)
MoveEvent(x=760, y=311, time=1683894824.3510242)
MoveEvent(x=749, y=328, time=1683894824.3600192)
MoveEvent(x=742, y=338, time=1683894824.3680158)
MoveEvent(x=736, y=346, time=1683894824.376076)
MoveEvent(x=727, y=355, time=1683894824.3833463)
MoveEvent(x=723, y=362, time=1683894824.391138)
MoveEvent(x=716, y=369, time=1683894824.4001417)
MoveEvent(x=711, y=374, time=1683894824.4078288)
MoveEvent(x=708, y=375, time=1683894824.4160202)
MoveEvent(x=704, y=377, time=1683894824.4240224)
MoveEvent(x=698, y=378, time=1683894824.4319072)
MoveEvent(x=692, y=379, time=1683894824.4392688)
MoveEvent(x=686, y=379, time=1683894824.447943)
MoveEvent(x=678, y=379, time=1683894824.455946)
MoveEvent(x=666, y=372, time=1683894824.463159)
MoveEvent(x=658, y=364, time=1683894824.471492)
MoveEvent(x=649, y=354, time=1683894824.4804654)
MoveEvent(x=639, y=339, time=1683894824.4880657)
MoveEvent(x=628, y=318, time=1683894824.496007)
MoveEvent(x=618, y=298, time=1683894824.503525)
MoveEvent(x=610, y=280, time=1683894824.511774)
MoveEvent(x=597, y=256, time=1683894824.519857)
MoveEvent(x=582, y=230, time=1683894824.5279288)
MoveEvent(x=564, y=205, time=1683894824.535949)
MoveEvent(x=544, y=182, time=1683894824.5431294)
MoveEvent(x=529, y=168, time=1683894824.551943)
MoveEvent(x=515, y=158, time=1683894824.5598974)
MoveEvent(x=505, y=153, time=1683894824.5680745)
MoveEvent(x=496, y=147, time=1683894824.5759962)
MoveEvent(x=490, y=145, time=1683894824.5836606)
MoveEvent(x=485, y=144, time=1683894824.5914838)
MoveEvent(x=481, y=144, time=1683894824.599944)
MoveEvent(x=478, y=144, time=1683894824.6072745)
MoveEvent(x=474, y=144, time=1683894824.6159432)
MoveEvent(x=470, y=144, time=1683894824.6233406)
MoveEvent(x=462, y=148, time=1683894824.632034)
MoveEvent(x=455, y=156, time=1683894824.6391227)
MoveEvent(x=446, y=165, time=1683894824.6480725)
MoveEvent(x=439, y=176, time=1683894824.6552958)
MoveEvent(x=434, y=186, time=1683894824.6635773)
MoveEvent(x=424, y=201, time=1683894824.6714048)
MoveEvent(x=417, y=212, time=1683894824.6795764)
MoveEvent(x=410, y=223, time=1683894824.687944)
MoveEvent(x=403, y=233, time=1683894824.6959443)
MoveEvent(x=396, y=242, time=1683894824.7031598)
MoveEvent(x=390, y=249, time=1683894824.711944)
MoveEvent(x=385, y=257, time=1683894824.719475)
MoveEvent(x=377, y=265, time=1683894824.728102)
MoveEvent(x=369, y=273, time=1683894824.7361681)
MoveEvent(x=364, y=278, time=1683894824.7440236)
MoveEvent(x=358, y=282, time=1683894824.752013)
MoveEvent(x=355, y=284, time=1683894824.76001)
MoveEvent(x=350, y=286, time=1683894824.7681074)
MoveEvent(x=347, y=286, time=1683894824.7760794)
MoveEvent(x=345, y=286, time=1683894824.783225)
MoveEvent(x=342, y=286, time=1683894824.7911115)
