MoveEvent(x=1514, y=138, time=1681727653.6391828)
MoveEvent(x=1512, y=140, time=1681727653.6470606)
MoveEvent(x=1510, y=141, time=1681727653.6533954)
MoveEvent(x=1509, y=142, time=1681727653.6604698)
MoveEvent(x=1508, y=142, time=1681727653.6673768)
MoveEvent(x=1508, y=143, time=1681727653.673929)
MoveEvent(x=1508, y=143, time=1681727653.7293844)
MoveEvent(x=1509, y=142, time=1681727653.7360914)
MoveEvent(x=1510, y=142, time=1681727653.7566752)
MoveEvent(x=1511, y=141, time=1681727653.7705455)
MoveEvent(x=1512, y=140, time=1681727653.7775452)
MoveEvent(x=1513, y=140, time=1681727653.79061)
MoveEvent(x=1513, y=139, time=1681727653.7981033)
MoveEvent(x=1513, y=139, time=1681727653.839467)
MoveEvent(x=1512, y=139, time=1681727653.8734586)
ButtonEvent(event_type='down', button='left', time=1681727654.4404562)
ButtonEvent(event_type='up', button='left', time=1681727654.671338)
MoveEvent(x=1506, y=148, time=1681727655.1142573)
MoveEvent(x=1494, y=165, time=1681727655.1217396)
MoveEvent(x=1482, y=182, time=1681727655.1285102)
MoveEvent(x=1472, y=201, time=1681727655.1348886)
MoveEvent(x=1452, y=230, time=1681727655.1417844)
MoveEvent(x=1437, y=257, time=1681727655.1492784)
MoveEvent(x=1422, y=284, time=1681727655.15635)
MoveEvent(x=1411, y=307, time=1681727655.16299)
MoveEvent(x=1398, y=334, time=1681727655.1693394)
MoveEvent(x=1386, y=361, time=1681727655.1765404)
MoveEvent(x=1379, y=379, time=1681727655.1835737)
MoveEvent(x=1368, y=404, time=1681727655.1895747)
MoveEvent(x=1359, y=426, time=1681727655.1968367)
MoveEvent(x=1350, y=444, time=1681727655.2043462)
MoveEvent(x=1339, y=466, time=1681727655.2106118)
MoveEvent(x=1328, y=489, time=1681727655.2182884)
MoveEvent(x=1319, y=508, time=1681727655.22438)
MoveEvent(x=1311, y=523, time=1681727655.2317142)
MoveEvent(x=1303, y=541, time=1681727655.23812)
MoveEvent(x=1296, y=556, time=1681727655.2456255)
MoveEvent(x=1291, y=570, time=1681727655.2525449)
MoveEvent(x=1287, y=583, time=1681727655.25941)
MoveEvent(x=1282, y=594, time=1681727655.2657223)
MoveEvent(x=1278, y=602, time=1681727655.2730029)
MoveEvent(x=1275, y=609, time=1681727655.2794263)
MoveEvent(x=1271, y=616, time=1681727655.2863407)
MoveEvent(x=1268, y=623, time=1681727655.293707)
MoveEvent(x=1262, y=636, time=1681727655.5074403)
MoveEvent(x=1253, y=652, time=1681727655.5148017)
MoveEvent(x=1243, y=669, time=1681727655.521741)
MoveEvent(x=1237, y=684, time=1681727655.5284173)
MoveEvent(x=1228, y=705, time=1681727655.5355546)
MoveEvent(x=1220, y=724, time=1681727655.541943)
MoveEvent(x=1213, y=740, time=1681727655.5487611)
MoveEvent(x=1206, y=759, time=1681727655.5564835)
MoveEvent(x=1201, y=779, time=1681727655.5624843)
MoveEvent(x=1194, y=802, time=1681727655.5700517)
MoveEvent(x=1189, y=823, time=1681727655.5770354)
MoveEvent(x=1186, y=839, time=1681727655.5837753)
MoveEvent(x=1182, y=853, time=1681727655.5910673)
MoveEvent(x=1179, y=868, time=1681727655.5969758)
MoveEvent(x=1176, y=884, time=1681727655.60398)
MoveEvent(x=1174, y=898, time=1681727655.6109784)
MoveEvent(x=1171, y=910, time=1681727655.6179812)
MoveEvent(x=1170, y=923, time=1681727655.624982)
MoveEvent(x=1168, y=933, time=1681727655.631)
MoveEvent(x=1167, y=943, time=1681727655.6380005)
MoveEvent(x=1167, y=950, time=1681727655.6449804)
MoveEvent(x=1166, y=954, time=1681727655.6520019)
MoveEvent(x=1165, y=958, time=1681727655.6589813)
MoveEvent(x=1165, y=959, time=1681727655.6660028)
MoveEvent(x=1163, y=963, time=1681727655.672984)
MoveEvent(x=1163, y=964, time=1681727655.6795685)
MoveEvent(x=1163, y=964, time=1681727655.693249)
MoveEvent(x=1163, y=965, time=1681727655.707032)
MoveEvent(x=1163, y=966, time=1681727655.7139347)
MoveEvent(x=1163, y=968, time=1681727655.72074)
MoveEvent(x=1162, y=969, time=1681727655.7277224)
MoveEvent(x=1162, y=971, time=1681727655.7346222)
MoveEvent(x=1161, y=974, time=1681727655.7414777)
MoveEvent(x=1160, y=976, time=1681727655.7491186)
MoveEvent(x=1158, y=981, time=1681727655.7552865)
MoveEvent(x=1157, y=984, time=1681727655.7621617)
MoveEvent(x=1156, y=987, time=1681727655.7696426)
MoveEvent(x=1155, y=990, time=1681727655.775904)
MoveEvent(x=1155, y=992, time=1681727655.782793)
MoveEvent(x=1154, y=994, time=1681727655.7903357)
MoveEvent(x=1154, y=996, time=1681727655.7965727)
MoveEvent(x=1154, y=997, time=1681727655.8040297)
MoveEvent(x=1154, y=998, time=1681727655.8111353)
MoveEvent(x=1153, y=999, time=1681727655.8172703)
MoveEvent(x=1153, y=1000, time=1681727655.830967)
MoveEvent(x=1153, y=1001, time=1681727655.8384295)
MoveEvent(x=1153, y=1001, time=1681727655.8447049)
MoveEvent(x=1153, y=1002, time=1681727655.85214)
MoveEvent(x=1153, y=1004, time=1681727655.858381)
MoveEvent(x=1152, y=1005, time=1681727655.8653731)
MoveEvent(x=1152, y=1007, time=1681727655.8724794)
MoveEvent(x=1152, y=1008, time=1681727655.8797042)
MoveEvent(x=1152, y=1010, time=1681727655.8866105)
MoveEvent(x=1152, y=1010, time=1681727655.8928728)
MoveEvent(x=1151, y=1012, time=1681727655.900366)
MoveEvent(x=1150, y=1013, time=1681727655.9067786)
MoveEvent(x=1150, y=1015, time=1681727655.9140024)
MoveEvent(x=1149, y=1016, time=1681727655.9278948)
MoveEvent(x=1149, y=1017, time=1681727655.934721)
MoveEvent(x=1148, y=1017, time=1681727655.940987)
MoveEvent(x=1148, y=1018, time=1681727655.9479222)
